reader(6)  get:2   start:31.22043   end:31.78575 
reader(7)  get:2   start:31.64484   end:31.86218 
reader(8)  get:2   start:30.23096   end:31.97851 
reader(4)  get:2   start:30.72704   end:32.18523 
reader(1)  get:2   start:31.91391   end:32.62728 
reader(3)  get:2   start:30.80709   end:32.66424 
reader(4)  get:2   start:32.32688   end:32.74308 
reader(5)  get:2   start:32.58045   end:32.96373 
reader(7)  get:2   start:32.79746   end:33.13970 
reader(2)  get:2   start:32.33927   end:33.84574 
reader(6)  get:2   start:32.96092   end:33.92415 
reader(1)  get:2   start:33.68074   end:34.51692 
reader(3)  get:2   start:33.27956   end:34.91288 
reader(8)  get:2   start:33.65883   end:35.21706 
reader(6)  get:2   start:34.41038   end:35.32701 
reader(4)  get:2   start:34.55445   end:35.40374 
reader(7)  get:2   start:33.41588   end:35.47431 
reader(3)  get:2   start:35.04316   end:35.56459 
reader(5)  get:2   start:33.78296   end:35.73839 
reader(1)  get:2   start:35.36535   end:35.77579 
writer(1)     start:35.77621    end:36.82059 
writer(2)     start:36.82051    end:37.33288 
reader(6)  get:4   start:37.33276   end:38.02697 
reader(7)  get:4   start:37.33316   end:38.41344 
reader(4)  get:4   start:37.33283   end:38.46004 
reader(3)  get:4   start:37.33317   end:38.84647 
reader(2)  get:4   start:37.33285   end:39.04205 
reader(1)  get:4   start:37.33350   end:39.11784 
reader(8)  get:4   start:37.33270   end:39.28386 
reader(5)  get:4   start:37.33291   end:39.32334 
reader(6)  get:4   start:38.95433   end:39.68570 
reader(7)  get:4   start:39.55495   end:40.94031 
reader(3)  get:4   start:39.62765   end:41.18504 
reader(1)  get:4   start:40.27316   end:41.34641 
reader(8)  get:4   start:40.76324   end:41.43241 
reader(3)  get:4   start:41.39721   end:41.79352 
reader(5)  get:4   start:39.83075   end:41.81087 
reader(6)  get:4   start:40.58889   end:41.89618 
reader(4)  get:4   start:40.17652   end:42.04389 
reader(2)  get:4   start:40.80122   end:42.55845 
reader(7)  get:4   start:41.15360   end:42.76685 
reader(4)  get:4   start:42.34614   end:42.91667 
reader(1)  get:4   start:41.97168   end:43.17129 
reader(5)  get:4   start:42.70123   end:44.03140 
reader(8)  get:4   start:42.81158   end:44.26277 
reader(2)  get:4   start:44.19477   end:44.30120 
reader(6)  get:4   start:43.12655   end:44.33670 
reader(4)  get:4   start:44.48497   end:44.74915 
reader(1)  get:4   start:43.89366   end:44.82894 
reader(3)  get:4   start:43.00320   end:44.90360 
reader(8)  get:4   start:44.55513   end:45.74843 
reader(7)  get:4   start:44.37809   end:46.09427 
reader(4)  get:4   start:44.93362   end:46.73109 
reader(5)  get:4   start:45.20565   end:46.89691 
reader(1)  get:4   start:46.20735   end:47.00369 
reader(3)  get:4   start:46.21012   end:47.19261 
reader(8)  get:4   start:47.23681   end:47.67519 
reader(2)  get:4   start:45.93648   end:48.02975 
reader(6)  get:4   start:46.22397   end:48.07923 
reader(7)  get:4   start:47.06359   end:48.15091 
reader(1)  get:4   start:47.22777   end:48.72117 
reader(5)  get:4   start:47.63915   end:49.27860 
reader(7)  get:4   start:48.17717   end:50.01336 
reader(8)  get:4   start:48.86748   end:50.33771 
reader(6)  get:4   start:49.89849   end:50.35872 
reader(2)  get:4   start:49.03511   end:50.40331 
reader(4)  get:4   start:48.52635   end:50.45157 
reader(3)  get:4   start:49.16484   end:50.75729 
reader(4)  get:4   start:50.51074   end:50.87786 
reader(1)  get:4   start:50.59742   end:51.61950 
reader(8)  get:4   start:51.25022   end:51.69045 
reader(3)  get:4   start:51.34270   end:51.75811 
reader(6)  get:4   start:51.58195   end:51.78523 
reader(5)  get:4   start:50.81390   end:51.87825 
reader(5)  get:4   start:52.08085   end:52.47000 
reader(2)  get:4   start:51.77657   end:52.60394 
reader(6)  get:4   start:52.04757   end:52.69285 
reader(7)  get:4   start:51.68962   end:53.09281 
reader(1)  get:4   start:51.74063   end:53.35492 
reader(6)  get:4   start:53.55812   end:53.99367 
reader(2)  get:4   start:52.76811   end:54.06343 
reader(5)  get:4   start:52.84037   end:54.15377 
reader(4)  get:4   start:52.24013   end:54.27855 
reader(6)  get:4   start:54.03595   end:54.29633 
reader(8)  get:4   start:53.32280   end:54.31208 
reader(3)  get:4   start:52.95664   end:55.01423 
reader(6)  get:4   start:54.82054   end:55.21888 
reader(7)  get:4   start:54.20622   end:55.43043 
reader(5)  get:4   start:54.78103   end:55.52745 
reader(1)  get:4   start:53.78022   end:55.69954 
reader(8)  get:4   start:55.75139   end:56.07362 
reader(2)  get:4   start:54.36096   end:56.22332 
reader(4)  get:4   start:55.93798   end:56.30634 
reader(3)  get:4   start:55.96455   end:56.81487 
reader(6)  get:4   start:55.37810   end:56.97443 
reader(6)  get:4   start:57.43165   end:57.88098 
reader(1)  get:4   start:56.95482   end:58.18304 
reader(4)  get:4   start:57.65173   end:58.26098 
reader(8)  get:4   start:56.22291   end:58.31317 
reader(2)  get:4   start:57.39554   end:58.60591 
reader(3)  get:4   start:57.57527   end:58.82772 
reader(7)  get:4   start:57.10879   end:58.85799 
reader(5)  get:4   start:57.50773   end:59.07493 
reader(2)  get:4   start:58.90911   end:59.51541 
reader(3)  get:4   start:59.01413   end:59.59856 
reader(4)  get:4   start:59.45116   end:59.75344 
reader(8)  get:4   start:59.29365   end:59.87684 
reader(7)  get:4   start:59.15630   end:59.92251 
reader(8)  get:4   start:59.89326   end:60.26353 
reader(3)  get:4   start:59.86075   end:60.37310 
reader(1)  get:4   start:59.96316   end:60.83947 
reader(6)  get:4   start:59.20237   end:60.84063 
reader(4)  get:4   start:59.78072   end:60.98018 
reader(8)  get:4   start:61.21880   end:61.64505 
reader(2)  get:4   start:60.30773   end:61.73595 
reader(3)  get:4   start:60.43846   end:61.77273 
reader(7)  get:4   start:61.23686   end:61.89053 
reader(6)  get:4   start:61.61496   end:62.20539 
reader(3)  get:4   start:62.00584   end:62.38114 
reader(5)  get:4   start:60.32425   end:62.40651 
reader(2)  get:4   start:62.15079   end:62.66016 
reader(1)  get:4   start:61.84481   end:63.10636 
reader(7)  get:4   start:62.81092   end:64.06640 
reader(4)  get:4   start:62.28159   end:64.19466 
reader(2)  get:4   start:62.82163   end:64.29399 
reader(8)  get:4   start:62.95136   end:64.31274 
reader(3)  get:4   start:63.27337   end:64.31990 
reader(6)  get:4   start:63.34931   end:64.53756 
reader(1)  get:4   start:64.23076   end:65.21001 
reader(2)  get:4   start:65.55518   end:65.80340 
reader(5)  get:4   start:63.75312   end:65.84851 
reader(1)  get:4   start:65.64940   end:66.30006 
reader(7)  get:4   start:65.34560   end:66.41583 
reader(8)  get:4   start:65.97921   end:66.88764 
reader(4)  get:4   start:65.79600   end:66.91453 
reader(7)  get:4   start:66.55405   end:67.23824 
reader(2)  get:4   start:66.81455   end:67.50286 
reader(6)  get:4   start:66.36099   end:67.54475 
reader(5)  get:4   start:66.81297   end:67.80819 
reader(3)  get:4   start:65.99019   end:67.82042 
reader(5)  get:4   start:67.88451   end:68.62392 
reader(4)  get:4   start:67.52899   end:69.06110 
reader(1)  get:4   start:67.74149   end:69.20288 
reader(6)  get:4   start:69.52606   end:69.79022 
reader(7)  get:4   start:68.53839   end:70.09563 
reader(2)  get:4   start:68.36107   end:70.13829 
reader(8)  get:4   start:68.37469   end:70.44290 
reader(3)  get:4   start:69.35276   end:70.79217 
reader(7)  get:4   start:70.83484   end:71.91303 
reader(5)  get:4   start:69.96648   end:71.95574 
reader(4)  get:4   start:70.69856   end:72.08187 
reader(1)  get:4   start:70.48316   end:72.13033 
reader(6)  get:4   start:70.77564   end:72.28294 
reader(3)  get:4   start:71.42246   end:72.60491 
reader(2)  get:4   start:71.69251   end:72.91589 
reader(8)  get:4   start:70.85212   end:72.94359 
reader(2)  get:4   start:73.23428   end:73.79672 
reader(7)  get:4   start:72.94749   end:74.49574 
reader(4)  get:4   start:72.50417   end:74.56433 
reader(8)  get:4   start:74.43494   end:74.76725 
reader(5)  get:4   start:73.20921   end:74.76751 
reader(3)  get:4   start:73.41412   end:74.85132 
reader(7)  get:4   start:74.77892   end:74.96535 
reader(6)  get:4   start:72.96750   end:75.06305 
reader(2)  get:4   start:74.44922   end:75.36552 
reader(1)  get:4   start:74.02272   end:75.86518 
reader(7)  get:4   start:75.64176   end:76.34001 
reader(6)  get:4   start:76.11327   end:76.99065 
reader(4)  get:4   start:76.24281   end:77.08001 
reader(8)  get:4   start:76.32265   end:77.18011 
reader(3)  get:4   start:75.50979   end:77.26509 
reader(5)  get:4   start:76.60469   end:77.68394 
reader(2)  get:4   start:76.21096   end:77.94313 
reader(1)  get:4   start:77.35064   end:78.78715 
reader(7)  get:4   start:77.42036   end:78.81177 
reader(6)  get:4   start:77.70686   end:79.60525 
reader(2)  get:4   start:78.12740   end:79.65868 
reader(5)  get:4   start:78.46320   end:79.65943 
reader(1)  get:4   start:79.03341   end:79.90676 
reader(7)  get:4   start:79.74920   end:80.19356 
reader(3)  get:4   start:79.03040   end:80.48875 
reader(8)  get:4   start:78.47746   end:80.55170 
reader(4)  get:4   start:78.96945   end:80.72073 
writer(1)     start:80.72138    end:81.39483 
writer(2)     start:81.39470    end:83.24693 
reader(7)  get:6   start:83.24655   end:83.63701 
reader(1)  get:6   start:83.24757   end:83.78107 
reader(6)  get:6   start:83.24673   end:83.81488 
reader(4)  get:6   start:83.24748   end:83.91589 
reader(2)  get:6   start:83.24728   end:84.49174 
reader(5)  get:6   start:83.24692   end:84.88833 
reader(3)  get:6   start:83.24729   end:85.13767 
reader(8)  get:6   start:83.24712   end:85.33971 
reader(4)  get:6   start:84.35712   end:86.16469 
reader(1)  get:6   start:85.51547   end:86.26677 
reader(8)  get:6   start:86.05803   end:86.87325 
reader(4)  get:6   start:86.71714   end:87.18766 
reader(7)  get:6   start:85.42621   end:87.23566 
reader(6)  get:6   start:85.81511   end:87.76465 
reader(3)  get:6   start:86.49597   end:87.88015 
reader(2)  get:6   start:86.29507   end:87.88938 
reader(1)  get:6   start:87.64316   end:88.18536 
reader(5)  get:6   start:86.26642   end:88.19057 
reader(7)  get:6   start:87.35803   end:88.29133 
reader(5)  get:6   start:88.69500   end:88.85551 
reader(4)  get:6   start:87.78311   end:89.81463 
reader(8)  get:6   start:88.49771   end:89.90783 
reader(6)  get:6   start:87.91187   end:89.93418 
reader(7)  get:6   start:90.00160   end:90.24106 
reader(3)  get:6   start:89.46643   end:90.58353 
reader(6)  get:6   start:90.28536   end:91.07777 
reader(1)  get:6   start:89.76415   end:91.28532 
reader(6)  get:6   start:91.44614   end:91.59348 
reader(3)  get:6   start:91.02482   end:91.77517 
reader(2)  get:6   start:89.82669   end:91.85930 
reader(8)  get:6   start:90.04616   end:92.13346 
reader(7)  get:6   start:91.30736   end:92.20993 
reader(5)  get:6   start:90.56370   end:92.47415 
reader(4)  get:6   start:90.90096   end:92.74436 
reader(2)  get:6   start:92.05368   end:93.84281 
reader(8)  get:6   start:92.96272   end:93.93780 
reader(3)  get:6   start:93.01942   end:94.39272 
reader(1)  get:6   start:92.65256   end:94.71711 
reader(6)  get:6   start:93.35090   end:95.26130 
reader(5)  get:6   start:94.08345   end:95.40894 
reader(2)  get:6   start:94.42536   end:95.45062 
reader(7)  get:6   start:93.89833   end:95.84564 
reader(4)  get:6   start:94.49450   end:96.17077 
reader(8)  get:6   start:95.16806   end:96.17936 
reader(2)  get:6   start:95.72916   end:96.46844 
reader(6)  get:6   start:95.90279   end:96.48810 
reader(3)  get:6   start:96.17085   end:96.66007 
reader(1)  get:6   start:96.19233   end:97.34758 
reader(2)  get:6   start:96.61494   end:97.52249 
reader(5)  get:6   start:97.13316   end:97.72769 
reader(6)  get:6   start:97.01936   end:98.03764 
reader(4)  get:6   start:97.17903   end:98.27845 
